Name,Cost,Bhk
IssaraBelmonds,nan,"4, 5 BHK"
MyscapeSongsOfTheSun,₹88.0 L - 1.01 Cr,"3, 4 BHK"
KesineniPioneerLifeVillas,₹20.25 L - 45.01 L,3 BHK
ArmkonLaxmiNivas,₹71.87 L - 1.06 Cr,3 BHK
ConfidentPride,₹1.62 Cr - 1.95 Cr,"2, 3 BHK"
RajaAyodhyaVillas,nan,3 BHK
AnvitaIvana,₹20.25 L - 97.1 L,"2, 3, 4 BHK"
PrestigeClairemont,₹31.5 L - 73.49 L,"3, 4 BHK"
PrestigeHighFieldsPhII,₹19.49 L - 47.7 L,4 BHK
IRAElevateVillas,₹53.45 L - 1.6 Cr,"3, 4 BHK"
LansumEdenGardens,₹33.4 L - 79.99 L,3 BHK
WByDSR,₹12.1 L - 48.4 L,4 BHK
CandeurSkyline,₹56.69 L - 99.58 L,4 BHK
HyndavaMnkHeights,₹4.95 L - 39.64 L,"2, 3 BHK"
SumadhuraPalaisRoyale,₹28.04 L - 50.98 L,"3, 4 BHK"
VasaviAnandanilayam,₹14.1 L - 47.71 L,"2, 3, 4 BHK"
ThimuBlueBell,₹65.34 L - 1.07 Cr,2 BHK
Sreenivasam,₹2.03 Cr - 9.27 Cr,3 BHK
ArmkonLaxmiNivas,₹9.68 L - 19.36 L,3 BHK
ConfidentPride,₹1.39 Cr - 1.82 Cr,"2, 3 BHK"
RajaAyodhyaVillas,₹12.1 L - 36.4 L,3 BHK
JainsBalajiNilayamCasaWaterside,₹31.17 L - 1.01 Cr,"2, 3 BHK"
SuryaPurnachandra,₹66.83 L - 93.06 L,"2, 3 BHK"
SriMuthyapagaSIcon,₹68.63 L - 94.88 L,"2, 2.5, 3 BHK"
GodrejCodenameKokapet,₹1.21 Cr - 1.46 Cr,"3, 4 BHK"
PrimarkNarennPrimarkInspira,₹1.1 Cr - 3.0 Cr,"2, 3 BHK"
Nishada,₹71.87 L - 1.06 Cr,"3, 4 BHK"
SRIASIWA,₹1.45 Cr - 2.24 Cr,"3, 3.5, 4, 4.5 BHK"
AparnaZenon,₹7.85 Cr - 13.94 Cr,"1, 2, 3 BHK"
GreenspaceMarvel,₹70.29 L - 1.67 Cr,"3, 4 BHK"
DNSPNKSigniture,₹4.34 Cr - 4.97 Cr,3 BHK
MerlionOrchids,₹1.96 Cr - 2.2 Cr,"2, 3 BHK"
Elite40,nan,3 BHK
SimchahAcasa,₹6.5 Cr - 8.31 Cr,3.5 BHK
IRATheSquareVillas,₹2.54 Cr - 3.16 Cr,4 BHK
Team4Nyla,₹1.21 Cr - 1.46 Cr,"2, 3 BHK"
SuryaPurnachandra,₹17.7 L - 66.95 L,"2, 3 BHK"
ShylaHeights,₹74.24 L - 1.13 Cr,2 BHK
PrestigeTranquil,₹2.64 Cr - 2.67 Cr,3 BHK
TheTamarind,₹84.38 L - 3.5 Cr,"2, 2.5, 3 BHK"
UrbanriseJewelOfHyderabad,₹3.1 Cr - 6.33 Cr,3 BHK
HallmarkCountyVilla1To171,₹3.25 Cr - 3.27 Cr,4 BHK
HallmarkFloresta,₹50.39 L - 4.67 Cr,3 BHK
Hallmark5A,₹9.15 Cr - 9.19 Cr,3 BHK
HallmarkPinnacle,₹1.8 Cr - 2.21 Cr,"2, 3 BHK"
Tribhanga,₹6.9 Cr,3 BHK
TechHomes,₹7.82 Cr - 14.4 Cr,"3, 4 BHK"
TechTower,₹54.12 L - 6.18 Cr,"2, 3 BHK"
VIVACITY,₹18.52 L - 54.24 L,"2, 3 BHK"
SASDiamondTowers,₹75.89 L - 1.22 Cr,"3, 4 BHK"
ModiNilgiriHeights,₹4.02 Cr - 5.62 Cr,3 BHK
IconsAltaMonte,₹98.42 L - 3.02 Cr,"2, 3 BHK"
WhiteWatersAtY,₹48.55 L - 52.5 L,3 BHK
SobhaWaterfront,₹17.7 L - 66.95 L,"3, 3.5, 4 BHK"
SophistsMyra,₹74.24 L - 1.13 Cr,"2, 3 BHK"
PacificaHillcrest,₹2.64 Cr - 2.67 Cr,"2, 3, 4 BHK"
VamsiramManhattan,₹13.5 L - 36.0 L,"3, 4, 5 BHK"
MyHomeGroupSayuk,nan,"2, 2.5, 3 BHK"
HallmarkSunnyside,nan,"2, 3 BHK"
HallmarkSkyrena,nan,"2, 3 BHK"
AdvaitasVibha,nan,"2, 3 BHK"
JainsBalajiNilayamCasaWaterside,nan,"2, 3 BHK"
VasaviSarovar,nan,"2, 3, 4 BHK"
Hallmark5A,₹10.0 L - 65.02 L,3 BHK
HallmarkPinnacle,₹1.04 Cr - 1.75 Cr,"2, 3 BHK"
LakshmiCadillac,₹60.0 L - 77.5 L,"2, 2.5, 3 BHK"
CandeurLakescape,nan,"2, 2.5, 3, 3.5 BHK"
DNSIconia,₹3.0 Cr - 4.75 Cr,"2, 3 BHK"
PoulomiPalazzo,₹14.4 L - 59.99 L,4 BHK
TheLine,₹40.23 L - 69.93 L,"2, 3 BHK"
IncorLakeCity,₹14.27 L - 90.0 L,"1, 2, 3 BHK"
ManbhumAGroveByTheLake,₹87.48 L - 1.67 Cr,3 BHK
SumadhuraGardensByTheBrook,₹4.0 Cr - 9.64 Cr,"2, 2.5, 3 BHK"
SanskritiSarovar,₹2.06 Cr - 4.24 Cr,2 BHK
VSMSlokaMeadows,₹1.1 Cr - 2.43 Cr,"2, 3 BHK"
Lavista,nan,"2, 3 BHK"
AmbienceCourtyard,nan,"2, 2.5, 3 BHK"
VasaviMetropolis,₹67.2 L - 1.09 Cr,"2, 3 BHK"
AspireSpacesAmeya,₹88.0 L - 1.01 Cr,"2, 3 BHK"
ShreeKrishnaHomes,₹3.34 Cr - 3.56 Cr,"2, 3 BHK"
DVHighriseBrundavanHitechCity,₹1.18 Cr - 1.85 Cr,3 BHK
AnandaTheDrizzle,₹60.0 L - 77.5 L,3 BHK
RNGSupraAvenue,₹10.0 L - 65.02 L,"2, 3 BHK"
NiharikaSkyline,₹55.12 L - 62.14 L,"2, 3, 4 BHK"
SignatureFortius,₹1.87 Cr - 2.17 Cr,2 BHK
ElegantNivasa,₹87.28 L - 1.66 Cr,"2, 3 BHK"
RKsOxygenHomes,₹1.06 Cr - 1.29 Cr,2 BHK
DandapaniHappyHomes,₹6.72 Cr,2 BHK
PraneethPranavSolitaire,₹4.16 Cr - 5.36 Cr,"2, 3 BHK"
SanviKowsalyaManidweepam,₹3.12 Cr - 3.85 Cr,"2, 3 BHK"
SRIGreenWood,₹79.66 L - 1.17 Cr,2 BHK
TheOlympus,₹2.22 Cr - 2.34 Cr,3 BHK
MyHomeTarkshya,₹1.08 Cr - 2.28 Cr,3 BHK
NeeladriResidency,₹39.0 L - 62.4 L,2 BHK
ThimuGreenMeadows,₹1.27 Cr - 2.42 Cr,"2, 3 BHK"
OPEL,₹2.58 Cr - 3.88 Cr,"2, 2.5, 3 BHK"
AVLSamskruthi,₹62.94 L - 68.88 L,"2, 2.5, 3 BHK"
RKOxygenValley,₹94.0 L - 1.67 Cr,"2, 3 BHK"
SettysYellowMeadows,₹1.29 Cr - 1.58 Cr,"2, 3 BHK"
UrrbanLeagueRiverscape,₹17.37 L - 55.11 L,"3, 4 BHK"
HallmarkTreasor,₹3.07 Cr - 5.99 Cr,3 BHK
GiridhariRise,₹24.75 L - 82.49 L,2 BHK
VasaviAvasa,₹1.12 Cr - 3.78 Cr,4 BHK
GoldenSathyaDevakiResidency,₹2.01 Cr - 14.1 Cr,"2, 3 BHK"
SriTheMarquise,₹1.1 Cr - 3.66 Cr,"4, 5, 6 BHK"
HimalayaBDLSevenHills,₹89.19 L - 1.56 Cr,"2, 3 BHK"
AuroThePearlPhaseI,₹51.6 L - 1.19 Cr,4 BHK
DNSClassic,₹1.04 Cr - 1.75 Cr,"2, 3 BHK"
VaishnaviHoudini,₹3.12 Cr - 3.85 Cr,"2, 3 BHK"
SASCrown,₹79.66 L - 1.17 Cr,"4, 5 BHK"
ARParkPride,₹96.97 L - 2.04 Cr,"2, 3 BHK"
TSPNagadharaGrand,₹97.07 L - 2.04 Cr,"2, 3 BHK"
SRIBliss,₹62.54 L - 85.86 L,"2, 3 BHK"
IndraprasthaResidency,₹9.34 Cr - 15.24 Cr,"2, 3 BHK"
KesineniRYSE,₹98.35 L - 1.35 Cr,4 BHK
VasaviSuchirUrban,₹46.2 L - 90.35 L,2 BHK
VASAVIATLANTIS,₹73.19 L - 1.26 Cr,"2, 3, 4 BHK"
BommarilluSarovar,₹1.01 Cr - 1.34 Cr,"2, 3 BHK"
ProvidentKenworth,₹48.0 L - 52.6 L,"2, 3, 3.5 BHK"
OneBlock6Block12Block8,₹66.0 L - 92.79 L,"3, 4 BHK"
TheFirst,₹68.2 L - 1.18 Cr,4 BHK
RajapushpaGreenDale,₹88.37 L - 2.2 Cr,"3, 4, 5 BHK"
PhoenixHalcyon,₹76.22 L - 1.22 Cr,"3, 4, 5 BHK"
PrestigeHighFields,₹53.91 L - 81.81 L,"2, 3, 4 BHK"
VisionUrjith,₹23.52 L - 1.58 Cr,"3, 3.5, 4 BHK"
PacificaHillcrestBlockAToD,₹67.75 L - 89.6 L,"2, 3, 4 BHK"
UniversalTheBotanika,₹1.44 Cr - 2.31 Cr,"3, 4 BHK"
UrbanOne,₹54.21 L - 81.53 L,"3, 3.5, 4 BHK"
KonceptBotanika,₹1.4 Cr - 3.26 Cr,"3, 4 BHK"
MyHomeAnkura,₹41.75 L - 56.76 L,4 BHK
NiveeGardens,₹63.49 L - 1.39 Cr,"4, 4.5 BHK"
SMRVINAYICONIAPHASEIIBLOCK1ABLOCK1B,nan,"2, 3 BHK"
VessellaWoods,nan,4 BHK
SMRVinayIconiaPhase2,₹76.34 L - 1.59 Cr,"2, 3, 4 BHK"
AuroKohinoorPhaseIII,₹90.46 L - 1.14 Cr,4 BHK
PrestigeRainbowWaters,₹2.35 Cr - 2.65 Cr,"4, 5 BHK"
UnicornVarahiHillcrest,₹96.59 L - 1.93 Cr,2 BHK
AkruthiVenkatadriTowersPhase1,₹65.79 L - 97.92 L,"2, 3 BHK"
AkruthiVenkatadriTowersPhase2,₹46.67 L - 71.9 L,2 BHK
VaibhaviVihaanShikhara,₹1.63 Cr - 2.35 Cr,3 BHK
PrestigeNeopolis,₹40.0 L - 1.0 Cr,"3, 4 BHK"
FrontlineSeven,₹5.21 Cr - 5.4 Cr,"2, 3 BHK"
JaiSriDeviHomesSamruddhi,₹46.42 L - 84.98 L,"2, 3 BHK"
ShreeApartments,₹4.0 Cr - 17.35 Cr,"2, 3 BHK"
