,PRICE,BHK,LOCATION,AREA,BATHROOMS,FURNISH
539,"15,000",2,"in Saroornagar, Hyderabad",1200,Bathrooms2,Un
540,"30,000",3,"in Ameenpur, Hyderabad",1515,,Semi
541,"38,000",4,"in Banjara Hills, Hyderabad",1500,Bathrooms3,Semi
542,"55,000",3,"in Gopanapalli, Hyderabad",1550,,Semi
543,"23,000",1,"in Kondapur, Hyderabad",750,Bathrooms1,Fully
544,"28,000",1,"in Kondapur, Hyderabad",900,Bathrooms1,Fully
545,"22,000",1,"in Kondapur, Hyderabad",800,Bathrooms1,Fully
546,"23,000",1,"in Kondapur, Hyderabad",850,Bathrooms1,Semi
547,"23,000",1,"in Kondapur, Hyderabad",800,Bathrooms1,Fully
548,"20,000",1,"in Kondapur, Hyderabad",850,Bathrooms1,Semi
549,"20,000",1,"in Kondapur, Hyderabad",850,Bathrooms1,Semi
550,"26,000",1,"in Kondapur, Hyderabad",750,Bathrooms1,Fully
551,"24,000",1,"in Kondapur, Hyderabad",800,Bathrooms1,Fully
552,"23,000",1,"in Kondapur, Hyderabad",850,Bathrooms1,Semi
553,"23,000",1,"in Kondapur, Hyderabad",750,Bathrooms1,Fully
554,"23,000",1,"in Kondapur, Hyderabad",850,Bathrooms1,Semi
555,"28,000",2,"in Hafeezpet, Hyderabad",1200,Bathrooms2,Semi
556,"11,000",2,"in Pocharam, Secunderabad",800,Bathrooms2,Semi
557,"20,000",2,"in Alwal, Hyderabad",2500,Bathrooms2,Fully
558,"16,500",3,"in Sainikpuri, Hyderabad",1310,Bathrooms3,Semi
559,"24,000",2,"in Mallampet, Hyderabad",1120,,Semi
560,"25,000",3,"in Bowrampet, Hyderabad",1550,,Semi
561,"10,000",2,"in Hayathnagar, Hyderabad",1000,Bathrooms2,Un
562,"18,000",2,"in Dilsukh Nagar, Hyderabad",900,,Semi
563,"55,000",3,"in Srinagar Colony, Hyderabad",2200,Bathrooms3,Semi
564,"65,000",3,"in Nallagandla, Hyderabad",1960,,Semi
565,"12,000",2,"in Santosh Nagar, Hyderabad",1000,Bathrooms1,Un
566,"1,00,000",4,"in Tellapur, Hyderabad",3233,,Semi
567,"50,000",3,"in Nallagandla, Hyderabad",1550,,Semi
568,"19,500",1,"in Kondapur, Hyderabad",850,Bathrooms1,Semi
569,"34,500",3,"in Gachibowli, Hyderabad",1900,Bathrooms3,Semi
570,"16,000",1,"in Kondapur, Hyderabad",720,Bathrooms1,Semi
571,"22,500",1,"in Kondapur, Hyderabad",720,Bathrooms1,Fully
